incident_id,attack_type,affected_system,severity,indicators,description,response_taken,attack_techniques,source_type,combined_text
INC011,VPN Attack,VPN Server,Medium,repeated VPN failures; unfamiliar source; authentication anomalies,A remote source repeatedly attempted to authenticate to the organization's VPN service using different account names.,"Blocked the source, enabled stronger authentication controls, reviewed VPN logs, and checked targeted accounts.",Initial Access; External Remote Services,SYNTHETIC_DEMO,"Incident ID: INC011. Attack Type: VPN Attack. Affected System: VPN Server. Severity: Medium. Indicators: repeated VPN failures; unfamiliar source; authentication anomalies. Description: A remote source repeatedly attempted to authenticate to the organization's VPN service using different account names.. Response Taken: Blocked the source, enabled stronger authentication controls, reviewed VPN logs, and checked targeted accounts.. Attack Techniques: Initial Access; External Remote Services"
INC012,Insider Threat,File Server,High,unusual file access; large file copy; after-hours activity,A user account accessed and copied an unusually large number of sensitive files outside its normal working pattern.,"Suspended the account temporarily, preserved relevant logs, reviewed access history, and investigated the transferred files.",Collection; Data from Local System,SYNTHETIC_DEMO,"Incident ID: INC012. Attack Type: Insider Threat. Affected System: File Server. Severity: High. Indicators: unusual file access; large file copy; after-hours activity. Description: A user account accessed and copied an unusually large number of sensitive files outside its normal working pattern.. Response Taken: Suspended the account temporarily, preserved relevant logs, reviewed access history, and investigated the transferred files.. Attack Techniques: Collection; Data from Local System"
INC013,Web Defacement,Web Server,Medium,unexpected page modification; unauthorized files; altered website,The organization's public website was modified without authorization and displayed content that was not part of the approved site.,"Removed unauthorized changes, restored the website from a trusted version, reviewed access logs, and patched the vulnerable component.",Impact; Defacement,SYNTHETIC_DEMO,"Incident ID: INC013. Attack Type: Web Defacement. Affected System: Web Server. Severity: Medium. Indicators: unexpected page modification; unauthorized files; altered website. Description: The organization's public website was modified without authorization and displayed content that was not part of the approved site.. Response Taken: Removed unauthorized changes, restored the website from a trusted version, reviewed access logs, and patched the vulnerable component.. Attack Techniques: Impact; Defacement"
INC014,Cloud Account Compromise,Cloud Platform,High,unusual cloud login; new access key; unexpected resource activity,An employee's cloud account showed an unusual login followed by creation of a new access credential and unexpected resource activity.,"Revoked active sessions and credentials, reset the account, reviewed cloud audit logs, and checked for unauthorized resources.",Valid Accounts; Account Manipulation,SYNTHETIC_DEMO,"Incident ID: INC014. Attack Type: Cloud Account Compromise. Affected System: Cloud Platform. Severity: High. Indicators: unusual cloud login; new access key; unexpected resource activity. Description: An employee's cloud account showed an unusual login followed by creation of a new access credential and unexpected resource activity.. Response Taken: Revoked active sessions and credentials, reset the account, reviewed cloud audit logs, and checked for unauthorized resources.. Attack Techniques: Valid Accounts; Account Manipulation"
INC015,Privilege Escalation,Application Server,Critical,unexpected administrator privileges; permission change; suspicious process,A compromised user account obtained elevated privileges on an application server and attempted to access restricted resources.,"Disabled the affected account, removed unauthorized privileges, isolated the server, and reviewed privilege and process logs.",Privilege Escalation; Exploitation for Privilege Escalation,SYNTHETIC_DEMO,"Incident ID: INC015. Attack Type: Privilege Escalation. Affected System: Application Server. Severity: Critical. Indicators: unexpected administrator privileges; permission change; suspicious process. Description: A compromised user account obtained elevated privileges on an application server and attempted to access restricted resources.. Response Taken: Disabled the affected account, removed unauthorized privileges, isolated the server, and reviewed privilege and process logs.. Attack Techniques: Privilege Escalation; Exploitation for Privilege Escalation"
INC016,Lateral Movement,Internal Network,High,multiple host connections; unusual administrative activity; new remote sessions,"After an initial workstation compromise, suspicious authentication activity was detected across several internal systems.","Isolated affected hosts, disabled compromised accounts, reviewed authentication paths, and investigated additional systems.",Lateral Movement; Remote Services; Valid Accounts,SYNTHETIC_DEMO,"Incident ID: INC016. Attack Type: Lateral Movement. Affected System: Internal Network. Severity: High. Indicators: multiple host connections; unusual administrative activity; new remote sessions. Description: After an initial workstation compromise, suspicious authentication activity was detected across several internal systems.. Response Taken: Isolated affected hosts, disabled compromised accounts, reviewed authentication paths, and investigated additional systems.. Attack Techniques: Lateral Movement; Remote Services; Valid Accounts"
INC017,Data Breach,Customer Database,Critical,unauthorized database access; sensitive records; abnormal queries,Unauthorized access to a customer database was detected and investigation indicated that sensitive customer information may have been accessed.,"Restricted database access, preserved evidence, reviewed audit logs, identified affected records, and initiated the organization's incident response process.",Collection; Data from Information Repositories,SYNTHETIC_DEMO,"Incident ID: INC017. Attack Type: Data Breach. Affected System: Customer Database. Severity: Critical. Indicators: unauthorized database access; sensitive records; abnormal queries. Description: Unauthorized access to a customer database was detected and investigation indicated that sensitive customer information may have been accessed.. Response Taken: Restricted database access, preserved evidence, reviewed audit logs, identified affected records, and initiated the organization's incident response process.. Attack Techniques: Collection; Data from Information Repositories"
INC018,Supply Chain Compromise,Software Development Environment,Critical,unexpected software update; suspicious code; compromised dependency,A software dependency used by the development environment was found to contain unauthorized changes that could affect applications using it.,"Removed the affected dependency, reviewed build artifacts, checked software integrity, and restricted the compromised component.",Supply Chain Compromise; Trusted Relationship,SYNTHETIC_DEMO,"Incident ID: INC018. Attack Type: Supply Chain Compromise. Affected System: Software Development Environment. Severity: Critical. Indicators: unexpected software update; suspicious code; compromised dependency. Description: A software dependency used by the development environment was found to contain unauthorized changes that could affect applications using it.. Response Taken: Removed the affected dependency, reviewed build artifacts, checked software integrity, and restricted the compromised component.. Attack Techniques: Supply Chain Compromise; Trusted Relationship"
INC019,Account Takeover,User Account,High,password reset request; unfamiliar login; changed account settings,A user reported unexpected password-reset notifications followed by a login from an unfamiliar location and changes to account settings.,"Reset the password, revoked active sessions, enabled multi-factor authentication, reviewed account activity, and restored legitimate settings.",Credential Access; Valid Accounts; Account Manipulation,SYNTHETIC_DEMO,"Incident ID: INC019. Attack Type: Account Takeover. Affected System: User Account. Severity: High. Indicators: password reset request; unfamiliar login; changed account settings. Description: A user reported unexpected password-reset notifications followed by a login from an unfamiliar location and changes to account settings.. Response Taken: Reset the password, revoked active sessions, enabled multi-factor authentication, reviewed account activity, and restored legitimate settings.. Attack Techniques: Credential Access; Valid Accounts; Account Manipulation"
INC020,Multi Stage Attack,Corporate Network,Critical,phishing email; compromised account; internal access; data transfer,"An attacker initially targeted an employee through phishing, obtained account access, moved to an internal system, and attempted to transfer sensitive information.","Isolated affected systems, disabled compromised accounts, reviewed the attack path, blocked suspicious communication, preserved evidence, and initiated recovery procedures.",Phishing; Valid Accounts; Lateral Movement; Exfiltration,SYNTHETIC_DEMO,"Incident ID: INC020. Attack Type: Multi Stage Attack. Affected System: Corporate Network. Severity: Critical. Indicators: phishing email; compromised account; internal access; data transfer. Description: An attacker initially targeted an employee through phishing, obtained account access, moved to an internal system, and attempted to transfer sensitive information.. Response Taken: Isolated affected systems, disabled compromised accounts, reviewed the attack path, blocked suspicious communication, preserved evidence, and initiated recovery procedures.. Attack Techniques: Phishing; Valid Accounts; Lateral Movement; Exfiltration"
